"sales_key","order_id","customer_key","product_key","order_date_key","quantity","unit_price","discount_rate","gross_sales","discount_amount","net_revenue"
25,"ORD0000025",7168,14,20241008,3,61.08,0.00,183.24,0.00,183.24
26,"ORD0000026",2142,144,20250217,2,83.79,0.15,167.58,25.14,142.44
27,"ORD0000027",2212,370,20240914,1,995.47,0.00,995.47,0.00,995.47
28,"ORD0000028",2271,863,20231126,4,842.95,0.00,3371.80,0.00,3371.80
29,"ORD0000029",746,58,20240206,10,36.45,0.00,364.50,0.00,364.50
30,"ORD0000030",8185,338,20240109,1,179.33,0.00,179.33,0.00,179.33
31,"ORD0000031",6766,480,20250810,8,225.01,0.00,1800.08,0.00,1800.08
32,"ORD0000032",1572,821,20250227,2,119.68,0.00,239.36,0.00,239.36
33,"ORD0000033",8556,523,20230912,3,239.60,0.00,718.80,0.00,718.80
34,"ORD0000034",5,780,20231121,3,80.27,0.20,240.81,48.16,192.65
35,"ORD0000035",3141,354,20240426,1,306.70,0.00,306.70,0.00,306.70
36,"ORD0000036",922,371,20230721,1,144.66,0.00,144.66,0.00,144.66
37,"ORD0000037",6909,887,20250531,3,832.54,0.05,2497.62,124.88,2372.74
38,"ORD0000038",6733,709,20250526,3,940.31,0.00,2820.93,0.00,2820.93
39,"ORD0000039",5905,544,20240227,4,77.54,0.05,310.16,15.51,294.65
40,"ORD0000040",7936,90,20250112,4,547.35,0.00,2189.40,0.00,2189.40
41,"ORD0000041",8245,368,20250712,1,456.19,0.05,456.19,22.81,433.38
42,"ORD0000042",5407,842,20251022,2,75.28,0.00,150.56,0.00,150.56
43,"ORD0000043",2654,131,20241116,1,243.30,0.00,243.30,0.00,243.30
44,"ORD0000044",6479,731,20250104,2,131.69,0.15,263.38,39.51,223.87
45,"ORD0000045",5596,4,20250317,1,147.62,0.00,147.62,0.00,147.62
46,"ORD0000046",6107,648,20250831,6,13.29,0.15,79.74,11.96,67.78
47,"ORD0000047",824,282,20241222,1,810.25,0.05,810.25,40.51,769.74
48,"ORD0000048",9478,383,20250723,1,62.08,0.00,62.08,0.00,62.08
49,"ORD0000049",5791,439,20240913,4,815.52,0.05,3262.08,163.10,3098.98
50,"ORD0000050",7327,937,20240706,1,7.27,0.10,7.27,0.73,6.54
51,"ORD0000051",4012,222,20241101,3,762.22,0.10,2286.66,228.67,2057.99
52,"ORD0000052",7049,158,20250721,6,240.64,0.00,1443.84,0.00,1443.84
53,"ORD0000053",2943,717,20240418,1,778.75,0.05,778.75,38.94,739.81
54,"ORD0000054",6807,804,20250406,3,226.25,0.10,678.75,67.88,610.87
55,"ORD0000055",3234,576,20231110,1,71.62,0.05,71.62,3.58,68.04
56,"ORD0000056",2977,940,20240512,4,1108.58,0.05,4434.32,221.72,4212.60
57,"ORD0000057",3943,459,20231031,1,91.20,0.00,91.20,0.00,91.20
58,"ORD0000058",6946,477,20250217,2,20.85,0.10,41.70,4.17,37.53
59,"ORD0000059",7378,208,20250206,3,329.05,0.00,987.15,0.00,987.15
60,"ORD0000060",4867,959,20250125,1,82.70,0.00,82.70,0.00,82.70
61,"ORD0000061",1807,379,20240824,4,87.68,0.00,350.72,0.00,350.72
62,"ORD0000062",6728,209,20230929,2,11.91,0.05,23.82,1.19,22.63
63,"ORD0000063",5629,385,20241226,1,18.66,0.20,18.66,3.73,14.93
64,"ORD0000064",5731,376,20241117,1,1393.31,0.00,1393.31,0.00,1393.31
65,"ORD0000065",2601,422,20250317,2,186.80,0.10,373.60,37.36,336.24
66,"ORD0000066",6778,450,20250929,3,148.28,0.00,444.84,0.00,444.84
67,"ORD0000067",951,309,20231211,4,19.01,0.10,76.04,7.60,68.44
68,"ORD0000068",1727,868,20250501,1,61.92,0.00,61.92,0.00,61.92
69,"ORD0000069",2151,489,20241221,1,44.27,0.00,44.27,0.00,44.27
70,"ORD0000070",7740,866,20250721,2,128.41,0.00,256.82,0.00,256.82
71,"ORD0000071",7311,89,20241219,3,28.28,0.00,84.84,0.00,84.84
72,"ORD0000072",1772,321,20250507,6,42.71,0.00,256.26,0.00,256.26
73,"ORD0000073",1340,834,20231122,1,53.58,0.00,53.58,0.00,53.58
74,"ORD0000074",4496,228,20250401,2,69.31,0.10,138.62,13.86,124.76
75,"ORD0000075",4111,399,20240828,8,188.94,0.05,1511.52,75.58,1435.94
76,"ORD0000076",5611,891,20240110,1,61.67,0.00,61.67,0.00,61.67
77,"ORD0000077",2386,305,20240719,1,312.35,0.00,312.35,0.00,312.35
78,"ORD0000078",3014,438,20250920,1,224.00,0.00,224.00,0.00,224.00
79,"ORD0000079",1960,710,20241028,4,210.56,0.00,842.24,0.00,842.24
80,"ORD0000080",1728,674,20241014,2,33.43,0.00,66.86,0.00,66.86
81,"ORD0000081",3974,757,20240121,1,172.44,0.15,172.44,25.87,146.57
82,"ORD0000082",1480,710,20231103,2,210.56,0.15,421.12,63.17,357.95
83,"ORD0000083",4085,999,20250328,5,49.81,0.10,249.05,24.91,224.14
84,"ORD0000084",6306,382,20250209,2,3.34,0.15,6.68,1.00,5.68
85,"ORD0000085",3975,566,20240329,2,115.34,0.10,230.68,23.07,207.61
86,"ORD0000086",6762,377,20250529,3,121.19,0.00,363.57,0.00,363.57
87,"ORD0000087",4315,557,20241218,3,7.70,0.05,23.10,1.16,21.94
88,"ORD0000088",8147,112,20250807,2,66.45,0.15,132.90,19.94,112.96
89,"ORD0000089",7981,391,20250819,3,164.06,0.05,492.18,24.61,467.57
90,"ORD0000090",8849,809,20240926,5,145.43,0.05,727.15,36.36,690.79
91,"ORD0000091",8636,111,20241112,5,65.39,0.00,326.95,0.00,326.95
92,"ORD0000092",9023,633,20240508,2,27.85,0.05,55.70,2.79,52.91
93,"ORD0000093",6187,491,20241209,1,440.73,0.10,440.73,44.07,396.66
94,"ORD0000094",9465,800,20250605,2,71.36,0.00,142.72,0.00,142.72
95,"ORD0000095",8129,1000,20240621,2,53.64,0.05,107.28,5.36,101.92
96,"ORD0000096",5599,48,20230503,1,25.90,0.00,25.90,0.00,25.90
97,"ORD0000097",188,9,20250126,4,86.77,0.00,347.08,0.00,347.08
98,"ORD0000098",8959,830,20250203,1,403.37,0.10,403.37,40.34,363.03
99,"ORD0000099",4166,247,20250511,3,151.00,0.10,453.00,45.30,407.70
100,"ORD0000100",4216,709,20240312,4,940.31,0.00,3761.24,0.00,3761.24
101,"ORD0000101",8272,647,20230822,1,45.93,0.10,45.93,4.59,41.34
102,"ORD0000102",977,107,20250618,6,1460.83,0.05,8764.98,438.25,8326.73
103,"ORD0000103",4586,396,20250331,1,6.44,0.00,6.44,0.00,6.44
104,"ORD0000104",3814,149,20240414,6,53.19,0.00,319.14,0.00,319.14
105,"ORD0000105",9758,626,20241128,1,53.22,0.05,53.22,2.66,50.56
106,"ORD0000106",9816,675,20240523,8,99.18,0.00,793.44,0.00,793.44
107,"ORD0000107",7532,17,20241106,1,89.67,0.00,89.67,0.00,89.67
108,"ORD0000108",4114,25,20240809,8,1266.38,0.10,10131.04,1013.10,9117.94
109,"ORD0000109",5493,252,20250210,1,35.82,0.10,35.82,3.58,32.24
110,"ORD0000110",4164,560,20241227,1,368.59,0.15,368.59,55.29,313.30
111,"ORD0000111",6426,952,20250104,5,3.35,0.00,16.75,0.00,16.75
112,"ORD0000112",5633,528,20230610,10,39.91,0.00,399.10,0.00,399.10
113,"ORD0000113",5828,42,20240417,1,562.57,0.10,562.57,56.26,506.31
114,"ORD0000114",2921,668,20250531,1,26.05,0.00,26.05,0.00,26.05
115,"ORD0000115",5632,44,20240702,6,1082.70,0.05,6496.20,324.81,6171.39
116,"ORD0000116",5429,476,20230513,8,481.21,0.00,3849.68,0.00,3849.68
117,"ORD0000117",9500,752,20240425,1,43.98,0.00,43.98,0.00,43.98
118,"ORD0000118",42,429,20240422,1,163.92,0.15,163.92,24.59,139.33
119,"ORD0000119",3529,208,20250404,1,329.05,0.00,329.05,0.00,329.05
120,"ORD0000120",3031,30,20250731,1,255.61,0.00,255.61,0.00,255.61
121,"ORD0000121",9190,995,20230408,8,17.31,0.20,138.48,27.70,110.78
122,"ORD0000122",4332,199,20250410,3,25.20,0.00,75.60,0.00,75.60
123,"ORD0000123",2077,864,20230801,3,74.31,0.05,222.93,11.15,211.78
124,"ORD0000124",220,539,20230621,1,838.80,0.20,838.80,167.76,671.04
125,"ORD0000125",1825,151,20250121,3,32.48,0.00,97.44,0.00,97.44
126,"ORD0000126",7436,905,20250701,6,21.22,0.10,127.32,12.73,114.59
127,"ORD0000127",472,578,20240210,1,1028.34,0.00,1028.34,0.00,1028.34
128,"ORD0000128",1386,96,20250327,2,140.41,0.05,280.82,14.04,266.78
129,"ORD0000129",503,595,20250428,2,113.98,0.00,227.96,0.00,227.96
130,"ORD0000130",4301,302,20231129,2,148.70,0.00,297.40,0.00,297.40
131,"ORD0000131",4154,52,20240826,1,479.63,0.05,479.63,23.98,455.65
132,"ORD0000132",8640,478,20240421,1,5.39,0.00,5.39,0.00,5.39
133,"ORD0000133",5728,537,20250108,2,210.13,0.05,420.26,21.01,399.25
134,"ORD0000134",1865,406,20250325,1,70.13,0.00,70.13,0.00,70.13
135,"ORD0000135",9257,4,20240303,3,147.62,0.05,442.86,22.14,420.72
136,"ORD0000136",1707,677,20241120,1,179.55,0.05,179.55,8.98,170.57
137,"ORD0000137",6761,816,20241021,5,20.24,0.05,101.20,5.06,96.14
138,"ORD0000138",9095,923,20240418,2,161.67,0.00,323.34,0.00,323.34
139,"ORD0000139",2728,193,20231201,1,61.13,0.00,61.13,0.00,61.13
140,"ORD0000140",7052,541,20240207,8,29.72,0.15,237.76,35.66,202.10
141,"ORD0000141",7137,703,20250205,4,21.46,0.00,85.84,0.00,85.84
142,"ORD0000142",4820,665,20250502,4,77.25,0.05,309.00,15.45,293.55
143,"ORD0000143",2673,901,20250531,1,66.39,0.00,66.39,0.00,66.39
144,"ORD0000144",7305,971,20241015,3,64.90,0.05,194.70,9.74,184.96
145,"ORD0000145",6084,12,20250701,3,13.68,0.00,41.04,0.00,41.04
146,"ORD0000146",8659,794,20230612,4,104.95,0.10,419.80,41.98,377.82
147,"ORD0000147",9608,409,20250910,5,27.41,0.10,137.05,13.71,123.34
148,"ORD0000148",1135,517,20250803,2,1408.90,0.05,2817.80,140.89,2676.91
149,"ORD0000149",7442,537,20250223,1,210.13,0.00,210.13,0.00,210.13
150,"ORD0000150",8492,929,20250627,3,779.75,0.00,2339.25,0.00,2339.25
151,"ORD0000151",5136,603,20240515,1,10.85,0.00,10.85,0.00,10.85
152,"ORD0000152",1086,745,20240710,1,4.76,0.10,4.76,0.48,4.28
153,"ORD0000153",3413,379,20231224,3,87.68,0.00,263.04,0.00,263.04
154,"ORD0000154",2999,689,20250530,1,1194.29,0.00,1194.29,0.00,1194.29
155,"ORD0000155",8746,331,20250320,2,1046.57,0.00,2093.14,0.00,2093.14
156,"ORD0000156",3536,24,20240705,5,3.43,0.00,17.15,0.00,17.15
157,"ORD0000157",4331,795,20240725,2,27.31,0.00,54.62,0.00,54.62
158,"ORD0000158",2623,461,20240103,5,319.16,0.05,1595.80,79.79,1516.01
159,"ORD0000159",3530,161,20240222,2,347.06,0.05,694.12,34.71,659.41
160,"ORD0000160",8252,104,20251031,2,658.46,0.05,1316.92,65.85,1251.07
161,"ORD0000161",4524,625,20240302,2,195.24,0.10,390.48,39.05,351.43
162,"ORD0000162",7486,620,20241226,2,31.93,0.00,63.86,0.00,63.86
163,"ORD0000163",6320,223,20231111,1,76.96,0.00,76.96,0.00,76.96
164,"ORD0000164",537,571,20250103,1,260.73,0.00,260.73,0.00,260.73
165,"ORD0000165",9903,218,20230406,3,379.72,0.00,1139.16,0.00,1139.16
166,"ORD0000166",6592,743,20251118,5,80.73,0.00,403.65,0.00,403.65
167,"ORD0000167",387,560,20250314,1,368.59,0.15,368.59,55.29,313.30
168,"ORD0000168",8895,355,20240401,4,1053.59,0.10,4214.36,421.44,3792.92
169,"ORD0000169",3479,265,20240711,4,919.01,0.00,3676.04,0.00,3676.04
170,"ORD0000170",2949,544,20250307,2,77.54,0.20,155.08,31.02,124.06
171,"ORD0000171",8673,565,20250127,2,353.86,0.05,707.72,35.39,672.33
172,"ORD0000172",2279,967,20250814,5,943.38,0.10,4716.90,471.69,4245.21
173,"ORD0000173",7988,969,20251203,3,65.24,0.00,195.72,0.00,195.72
174,"ORD0000174",9922,967,20250601,1,943.38,0.00,943.38,0.00,943.38
175,"ORD0000175",5289,198,20250813,5,28.27,0.00,141.35,0.00,141.35
176,"ORD0000176",2506,922,20250815,1,402.56,0.10,402.56,40.26,362.30
177,"ORD0000177",4233,553,20240716,5,128.12,0.00,640.60,0.00,640.60
178,"ORD0000178",5300,709,20240303,3,940.31,0.00,2820.93,0.00,2820.93
179,"ORD0000179",2671,754,20250812,2,517.95,0.05,1035.90,51.80,984.10
180,"ORD0000180",3678,397,20230808,3,1379.13,0.00,4137.39,0.00,4137.39
181,"ORD0000181",1197,103,20250905,6,35.10,0.00,210.60,0.00,210.60
182,"ORD0000182",4932,687,20250324,6,363.01,0.20,2178.06,435.61,1742.45
183,"ORD0000183",4625,705,20240903,6,211.02,0.00,1266.12,0.00,1266.12
184,"ORD0000184",1284,721,20241213,5,308.77,0.00,1543.85,0.00,1543.85
185,"ORD0000185",5478,745,20250228,1,4.76,0.00,4.76,0.00,4.76
186,"ORD0000186",4552,58,20240323,1,36.45,0.00,36.45,0.00,36.45
187,"ORD0000187",4649,656,20250707,5,62.32,0.05,311.60,15.58,296.02
188,"ORD0000188",8710,592,20250822,1,39.62,0.00,39.62,0.00,39.62
189,"ORD0000189",8142,701,20251202,2,89.80,0.00,179.60,0.00,179.60
190,"ORD0000190",635,656,20250613,2,62.32,0.00,124.64,0.00,124.64
191,"ORD0000191",2276,511,20240406,2,914.28,0.05,1828.56,91.43,1737.13
192,"ORD0000192",3152,9,20240513,2,86.77,0.10,173.54,17.35,156.19
193,"ORD0000193",2049,217,20241002,4,979.27,0.00,3917.08,0.00,3917.08
194,"ORD0000194",4514,178,20250725,2,67.82,0.15,135.64,20.35,115.29
195,"ORD0000195",1866,658,20230815,1,101.70,0.10,101.70,10.17,91.53
196,"ORD0000196",4197,723,20230712,2,1445.86,0.15,2891.72,433.76,2457.96
197,"ORD0000197",7618,247,20241015,1,151.00,0.00,151.00,0.00,151.00
198,"ORD0000198",4481,130,20240902,2,1095.25,0.00,2190.50,0.00,2190.50
199,"ORD0000199",1814,898,20240613,1,297.47,0.10,297.47,29.75,267.72
200,"ORD0000200",7640,541,20250701,2,29.72,0.00,59.44,0.00,59.44
201,"ORD0000201",6541,295,20241213,2,7.24,0.20,14.48,2.90,11.58
202,"ORD0000202",5197,83,20240709,3,856.24,0.00,2568.72,0.00,2568.72
203,"ORD0000203",5955,978,20231211,8,267.00,0.00,2136.00,0.00,2136.00
204,"ORD0000204",7858,554,20250506,1,9.15,0.15,9.15,1.37,7.78
205,"ORD0000205",4423,101,20241219,1,117.53,0.00,117.53,0.00,117.53
206,"ORD0000206",3703,752,20241225,5,43.98,0.00,219.90,0.00,219.90
207,"ORD0000207",1786,732,20240624,3,1406.62,0.00,4219.86,0.00,4219.86
208,"ORD0000208",413,839,20241028,4,47.68,0.00,190.72,0.00,190.72
209,"ORD0000209",2955,994,20241130,1,46.96,0.00,46.96,0.00,46.96
210,"ORD0000210",4986,490,20241103,2,3.00,0.05,6.00,0.30,5.70
211,"ORD0000211",4105,398,20240830,1,123.62,0.20,123.62,24.72,98.90
212,"ORD0000212",5594,277,20240524,4,674.35,0.00,2697.40,0.00,2697.40
213,"ORD0000213",2240,617,20240819,1,209.57,0.00,209.57,0.00,209.57
214,"ORD0000214",9608,740,20241122,4,19.22,0.00,76.88,0.00,76.88
215,"ORD0000215",1621,202,20231212,5,114.39,0.10,571.95,57.20,514.75
216,"ORD0000216",992,509,20240916,1,14.92,0.20,14.92,2.98,11.94
217,"ORD0000217",2490,163,20231117,1,26.05,0.00,26.05,0.00,26.05
218,"ORD0000218",1847,740,20250901,2,19.22,0.10,38.44,3.84,34.60
219,"ORD0000219",8035,361,20241229,2,8.93,0.05,17.86,0.89,16.97
220,"ORD0000220",5720,632,20250514,4,353.47,0.00,1413.88,0.00,1413.88
221,"ORD0000221",4035,446,20241005,2,242.91,0.00,485.82,0.00,485.82
222,"ORD0000222",3521,541,20240721,1,29.72,0.00,29.72,0.00,29.72
223,"ORD0000223",7553,15,20241022,3,192.43,0.15,577.29,86.59,490.70
224,"ORD0000224",8872,452,20241129,5,99.89,0.00,499.45,0.00,499.45
225,"ORD0000225",9067,733,20240716,1,177.05,0.15,177.05,26.56,150.49
226,"ORD0000226",3926,260,20240613,1,943.87,0.10,943.87,94.39,849.48
227,"ORD0000227",3128,783,20240824,1,49.00,0.00,49.00,0.00,49.00
228,"ORD0000228",6627,453,20230728,1,248.96,0.00,248.96,0.00,248.96
229,"ORD0000229",6057,417,20241221,1,916.24,0.20,916.24,183.25,732.99
230,"ORD0000230",3955,143,20240424,1,432.93,0.00,432.93,0.00,432.93
231,"ORD0000231",4582,630,20251105,4,121.34,0.05,485.36,24.27,461.09
232,"ORD0000232",4216,524,20250626,1,127.28,0.05,127.28,6.36,120.92
233,"ORD0000233",1378,863,20230904,3,842.95,0.00,2528.85,0.00,2528.85
234,"ORD0000234",5239,647,20250427,2,45.93,0.00,91.86,0.00,91.86
235,"ORD0000235",7395,925,20241124,3,75.42,0.00,226.26,0.00,226.26
236,"ORD0000236",7965,875,20231216,1,131.91,0.00,131.91,0.00,131.91
237,"ORD0000237",5153,270,20241228,1,105.61,0.00,105.61,0.00,105.61
238,"ORD0000238",6647,808,20241116,1,158.58,0.00,158.58,0.00,158.58
239,"ORD0000239",2056,466,20250113,3,639.08,0.00,1917.24,0.00,1917.24
240,"ORD0000240",5541,183,20241020,3,251.65,0.05,754.95,37.75,717.20
241,"ORD0000241",2550,57,20240115,4,73.86,0.20,295.44,59.09,236.35
242,"ORD0000242",9321,166,20250119,1,11.80,0.00,11.80,0.00,11.80
243,"ORD0000243",5838,736,20240323,5,10.36,0.00,51.80,0.00,51.80
244,"ORD0000244",9348,631,20250626,2,73.78,0.00,147.56,0.00,147.56
245,"ORD0000245",408,444,20240925,1,577.60,0.05,577.60,28.88,548.72
246,"ORD0000246",696,102,20240415,10,71.01,0.00,710.10,0.00,710.10
247,"ORD0000247",4240,793,20231024,5,256.17,0.00,1280.85,0.00,1280.85
248,"ORD0000248",2403,234,20250116,6,404.19,0.00,2425.14,0.00,2425.14
249,"ORD0000249",9983,449,20250326,4,98.44,0.05,393.76,19.69,374.07
250,"ORD0000250",2759,951,20250313,3,56.35,0.00,169.05,0.00,169.05
251,"ORD0000251",7746,417,20240818,2,916.24,0.05,1832.48,91.62,1740.86
252,"ORD0000252",8024,539,20250910,1,838.80,0.00,838.80,0.00,838.80
253,"ORD0000253",1134,243,20230517,5,77.78,0.05,388.90,19.45,369.45
254,"ORD0000254",109,823,20250101,1,194.67,0.00,194.67,0.00,194.67
255,"ORD0000255",8739,550,20250501,2,170.88,0.05,341.76,17.09,324.67
256,"ORD0000256",732,621,20240412,1,405.30,0.00,405.30,0.00,405.30
257,"ORD0000257",9820,142,20231201,5,37.88,0.00,189.40,0.00,189.40
258,"ORD0000258",2107,663,20230530,6,159.07,0.10,954.42,95.44,858.98
259,"ORD0000259",2168,434,20241002,3,41.78,0.05,125.34,6.27,119.07
260,"ORD0000260",2450,758,20240624,3,321.82,0.00,965.46,0.00,965.46
261,"ORD0000261",1340,577,20250202,1,19.84,0.00,19.84,0.00,19.84
262,"ORD0000262",3400,442,20240225,1,491.58,0.20,491.58,98.32,393.26
263,"ORD0000263",5941,62,20250730,1,332.93,0.00,332.93,0.00,332.93
264,"ORD0000264",9864,412,20241008,4,23.70,0.00,94.80,0.00,94.80
265,"ORD0000265",9665,276,20231205,1,372.07,0.05,372.07,18.60,353.47
266,"ORD0000266",3479,54,20240127,6,421.35,0.05,2528.10,126.41,2401.69
267,"ORD0000267",3265,320,20250713,2,446.45,0.00,892.90,0.00,892.90
268,"ORD0000268",1866,668,20250505,2,26.05,0.15,52.10,7.82,44.28
269,"ORD0000269",9608,723,20231008,2,1445.86,0.00,2891.72,0.00,2891.72
270,"ORD0000270",5659,791,20250116,8,49.64,0.05,397.12,19.86,377.26
271,"ORD0000271",2942,421,20241129,1,202.25,0.00,202.25,0.00,202.25
272,"ORD0000272",8293,238,20231105,1,355.17,0.05,355.17,17.76,337.41
273,"ORD0000273",2867,5,20240425,1,102.09,0.05,102.09,5.10,96.99
274,"ORD0000274",6733,33,20240806,2,56.23,0.00,112.46,0.00,112.46
275,"ORD0000275",7036,80,20230606,1,42.76,0.00,42.76,0.00,42.76
276,"ORD0000276",4294,439,20230728,2,815.52,0.00,1631.04,0.00,1631.04
277,"ORD0000277",6995,293,20230815,2,238.19,0.10,476.38,47.64,428.74
278,"ORD0000278",5111,652,20250917,3,73.02,0.10,219.06,21.91,197.15
279,"ORD0000279",6490,600,20230723,5,897.62,0.10,4488.10,448.81,4039.29
280,"ORD0000280",8914,78,20240402,3,1179.46,0.00,3538.38,0.00,3538.38
281,"ORD0000281",3113,802,20240619,5,608.31,0.00,3041.55,0.00,3041.55
282,"ORD0000282",6840,929,20250408,4,779.75,0.10,3119.00,311.90,2807.10
283,"ORD0000283",985,7,20251113,1,879.87,0.00,879.87,0.00,879.87
284,"ORD0000284",4531,109,20240205,8,94.80,0.00,758.40,0.00,758.40
285,"ORD0000285",4874,365,20251021,4,122.17,0.10,488.68,48.87,439.81
286,"ORD0000286",4638,608,20250506,5,87.07,0.10,435.35,43.54,391.81
287,"ORD0000287",4525,317,20241010,5,111.07,0.00,555.35,0.00,555.35
288,"ORD0000288",815,319,20250418,1,278.68,0.15,278.68,41.80,236.88
289,"ORD0000289",5391,255,20240328,2,4.71,0.00,9.42,0.00,9.42
290,"ORD0000290",9068,99,20230211,6,511.18,0.00,3067.08,0.00,3067.08
291,"ORD0000291",1749,532,20240703,4,124.99,0.10,499.96,50.00,449.96
292,"ORD0000292",1015,875,20250105,1,131.91,0.00,131.91,0.00,131.91
293,"ORD0000293",9250,671,20240810,1,12.10,0.05,12.10,0.61,11.49
294,"ORD0000294",8405,503,20240122,4,203.52,0.05,814.08,40.70,773.38
295,"ORD0000295",4185,883,20241106,1,151.09,0.10,151.09,15.11,135.98
296,"ORD0000296",4870,708,20250519,4,227.57,0.00,910.28,0.00,910.28
297,"ORD0000297",6789,842,20240409,2,75.28,0.00,150.56,0.00,150.56
298,"ORD0000298",139,663,20250706,1,159.07,0.00,159.07,0.00,159.07
299,"ORD0000299",45,842,20241002,2,75.28,0.05,150.56,7.53,143.03
300,"ORD0000300",1813,349,20241125,2,1190.14,0.05,2380.28,119.01,2261.27
301,"ORD0000301",2402,564,20240522,1,23.14,0.05,23.14,1.16,21.98
302,"ORD0000302",7336,957,20250221,1,129.94,0.10,129.94,12.99,116.95
303,"ORD0000303",8989,703,20241222,2,21.46,0.15,42.92,6.44,36.48
304,"ORD0000304",1322,203,20250923,1,643.06,0.00,643.06,0.00,643.06
305,"ORD0000305",4521,793,20240517,1,256.17,0.15,256.17,38.43,217.74
306,"ORD0000306",3610,162,20241218,1,687.12,0.00,687.12,0.00,687.12
307,"ORD0000307",4227,407,20240918,10,481.87,0.00,4818.70,0.00,4818.70
308,"ORD0000308",4575,793,20230723,10,256.17,0.15,2561.70,384.26,2177.44
309,"ORD0000309",5231,584,20241004,6,370.72,0.10,2224.32,222.43,2001.89
310,"ORD0000310",365,47,20241105,6,86.87,0.05,521.22,26.06,495.16
311,"ORD0000311",8499,61,20250728,4,46.86,0.05,187.44,9.37,178.07
312,"ORD0000312",8471,696,20250711,1,228.35,0.05,228.35,11.42,216.93
313,"ORD0000313",7869,770,20231124,1,386.14,0.15,386.14,57.92,328.22
314,"ORD0000314",5289,886,20250131,1,2.68,0.00,2.68,0.00,2.68
315,"ORD0000315",5563,507,20250218,4,495.04,0.00,1980.16,0.00,1980.16
316,"ORD0000316",7494,686,20230902,3,649.68,0.15,1949.04,292.36,1656.68
317,"ORD0000317",3794,1,20240608,4,89.85,0.05,359.40,17.97,341.43
318,"ORD0000318",210,367,20240314,5,522.55,0.00,2612.75,0.00,2612.75
319,"ORD0000319",6656,23,20240408,1,14.22,0.00,14.22,0.00,14.22
320,"ORD0000320",3479,181,20250827,2,290.50,0.00,581.00,0.00,581.00
321,"ORD0000321",8985,470,20240320,1,632.13,0.20,632.13,126.43,505.70
322,"ORD0000322",1952,930,20250112,1,40.89,0.10,40.89,4.09,36.80
323,"ORD0000323",2440,252,20241003,1,35.82,0.00,35.82,0.00,35.82
324,"ORD0000324",9012,590,20250324,10,25.62,0.05,256.20,12.81,243.39
325,"ORD0000325",5645,782,20250630,1,774.95,0.05,774.95,38.75,736.20
326,"ORD0000326",8491,347,20240625,1,1259.89,0.00,1259.89,0.00,1259.89
327,"ORD0000327",720,442,20240216,3,491.58,0.05,1474.74,73.74,1401.00
328,"ORD0000328",4458,937,20250326,4,7.27,0.00,29.08,0.00,29.08
329,"ORD0000329",4640,868,20250512,5,61.92,0.00,309.60,0.00,309.60
330,"ORD0000330",7700,198,20240415,1,28.27,0.00,28.27,0.00,28.27
331,"ORD0000331",4674,911,20250828,8,59.52,0.00,476.16,0.00,476.16
332,"ORD0000332",3479,871,20241005,2,76.58,0.00,153.16,0.00,153.16
333,"ORD0000333",9832,84,20250126,1,16.92,0.20,16.92,3.38,13.54
334,"ORD0000334",2408,16,20250718,5,97.96,0.00,489.80,0.00,489.80
335,"ORD0000335",2887,383,20240613,2,62.08,0.05,124.16,6.21,117.95
