"inventory_key","product_key","warehouse_key","inventory_date_key","stock_level","reorder_level","inventory_value","stock_risk_flag"
161,837,5,20230101,76,20,1434.12,False
162,837,5,20230606,74,20,1396.38,False
163,837,5,20231109,55,20,1037.85,False
164,837,5,20240414,46,20,868.02,False
165,837,5,20240917,42,20,792.54,False
166,837,5,20250221,40,20,754.80,False
167,837,5,20250727,36,20,679.32,False
168,837,5,20251231,17,20,320.79,True
169,6,9,20230101,50,10,7045.50,False
170,6,9,20230606,53,10,7468.23,False
171,6,9,20231109,56,10,7890.96,False
172,6,9,20240414,54,10,7609.14,False
173,6,9,20240917,65,10,9159.15,False
174,6,9,20250221,65,10,9159.15,False
175,6,9,20250727,59,10,8313.69,False
176,6,9,20251231,52,10,7327.32,False
177,202,12,20230101,36,25,2641.68,False
178,202,12,20230606,16,25,1174.08,True
179,202,12,20231109,29,25,2128.02,False
180,202,12,20240414,34,25,2494.92,False
181,202,12,20240917,40,25,2935.20,False
182,202,12,20250221,44,25,3228.72,False
183,202,12,20250727,33,25,2421.54,False
184,202,12,20251231,27,25,1981.26,False
185,855,1,20230101,213,50,2645.46,False
186,855,1,20230606,267,50,3316.14,False
187,855,1,20231109,308,50,3825.36,False
188,855,1,20240414,278,50,3452.76,False
189,855,1,20240917,312,50,3875.04,False
190,855,1,20250221,309,50,3837.78,False
191,855,1,20250727,295,50,3663.90,False
192,855,1,20251231,321,50,3986.82,False
193,888,9,20230101,277,75,121292.76,False
194,888,9,20230606,257,75,112535.16,False
195,888,9,20231109,282,75,123482.16,False
196,888,9,20240414,250,75,109470.00,False
197,888,9,20240917,267,75,116913.96,False
198,888,9,20250221,296,75,129612.48,False
199,888,9,20250727,229,75,100274.52,False
200,888,9,20251231,277,75,121292.76,False
201,738,6,20230101,46,10,7707.76,False
202,738,6,20230606,35,10,5864.60,False
203,738,6,20231109,38,10,6367.28,False
204,738,6,20240414,40,10,6702.40,False
205,738,6,20240917,36,10,6032.16,False
206,738,6,20250221,36,10,6032.16,False
207,738,6,20250727,32,10,5361.92,False
208,738,6,20251231,29,10,4859.24,False
209,647,7,20230101,42,10,1272.18,False
210,647,7,20230606,38,10,1151.02,False
211,647,7,20231109,39,10,1181.31,False
212,647,7,20240414,37,10,1120.73,False
213,647,7,20240917,46,10,1393.34,False
214,647,7,20250221,45,10,1363.05,False
215,647,7,20250727,46,10,1393.34,False
216,647,7,20251231,48,10,1453.92,False
217,55,11,20230101,219,100,17960.19,False
218,55,11,20230606,222,100,18206.22,False
219,55,11,20231109,210,100,17222.10,False
220,55,11,20240414,207,100,16976.07,False
221,55,11,20240917,146,100,11973.46,False
222,55,11,20250221,144,100,11809.44,False
223,55,11,20250727,131,100,10743.31,False
224,55,11,20251231,148,100,12137.48,False
225,374,11,20230101,233,50,143816.92,False
226,374,11,20230606,265,50,163568.60,False
227,374,11,20231109,260,50,160482.40,False
228,374,11,20240414,264,50,162951.36,False
229,374,11,20240917,262,50,161716.88,False
230,374,11,20250221,274,50,169123.76,False
231,374,11,20250727,250,50,154310.00,False
232,374,11,20251231,241,50,148754.84,False
233,744,7,20230101,275,100,158760.25,False
234,744,7,20230606,255,100,147214.05,False
235,744,7,20231109,248,100,143172.88,False
236,744,7,20240414,325,100,187625.75,False
237,744,7,20240917,375,100,216491.25,False
238,744,7,20250221,350,100,202058.50,False
239,744,7,20250727,337,100,194553.47,False
240,744,7,20251231,383,100,221109.73,False
241,750,9,20230101,61,10,3488.59,False
242,750,9,20230606,60,10,3431.40,False
243,750,9,20231109,61,10,3488.59,False
244,750,9,20240414,64,10,3660.16,False
245,750,9,20240917,74,10,4232.06,False
246,750,9,20250221,73,10,4174.87,False
247,750,9,20250727,73,10,4174.87,False
248,750,9,20251231,76,10,4346.44,False
249,297,11,20230101,123,75,3081.15,False
250,297,11,20230606,49,75,1227.45,True
251,297,11,20231109,46,75,1152.30,True
252,297,11,20240414,3,75,75.15,True
253,297,11,20240917,13,75,325.65,True
254,297,11,20250221,0,75,0.00,True
255,297,11,20250727,65,75,1628.25,True
256,297,11,20251231,1,75,25.05,True
257,637,10,20230101,82,25,39496.12,False
258,637,10,20230606,78,25,37569.48,False
259,637,10,20231109,63,25,30344.58,False
260,637,10,20240414,62,25,29862.92,False
261,637,10,20240917,48,25,23119.68,False
262,637,10,20250221,44,25,21193.04,False
263,637,10,20250727,45,25,21674.70,False
264,637,10,20251231,40,25,19266.40,False
265,352,1,20230101,122,25,17310.58,False
266,352,1,20230606,115,25,16317.35,False
267,352,1,20231109,111,25,15749.79,False
268,352,1,20240414,109,25,15466.01,False
269,352,1,20240917,125,25,17736.25,False
270,352,1,20250221,135,25,19155.15,False
271,352,1,20250727,146,25,20715.94,False
272,352,1,20251231,147,25,20857.83,False
273,435,8,20230101,70,25,42868.70,False
274,435,8,20230606,87,25,53279.67,False
275,435,8,20231109,88,25,53892.08,False
276,435,8,20240414,86,25,52667.26,False
277,435,8,20240917,73,25,44705.93,False
278,435,8,20250221,83,25,50830.03,False
279,435,8,20250727,78,25,47767.98,False
280,435,8,20251231,91,25,55729.31,False
281,982,4,20230101,278,75,35033.56,False
282,982,4,20230606,266,75,33521.32,False
283,982,4,20231109,321,75,40452.42,False
284,982,4,20240414,344,75,43350.88,False
285,982,4,20240917,360,75,45367.20,False
286,982,4,20250221,364,75,45871.28,False
287,982,4,20250727,412,75,51920.24,False
288,982,4,20251231,401,75,50534.02,False
289,598,2,20230101,216,50,67705.20,False
290,598,2,20230606,201,50,63003.45,False
291,598,2,20231109,189,50,59242.05,False
292,598,2,20240414,187,50,58615.15,False
293,598,2,20240917,164,50,51405.80,False
294,598,2,20250221,208,50,65197.60,False
295,598,2,20250727,219,50,68645.55,False
296,598,2,20251231,184,50,57674.80,False
297,700,7,20230101,458,100,72336.52,False
298,700,7,20230606,438,100,69177.72,False
299,700,7,20231109,452,100,71388.88,False
300,700,7,20240414,442,100,69809.48,False
301,700,7,20240917,382,100,60333.08,False
302,700,7,20250221,321,100,50698.74,False
303,700,7,20250727,281,100,44381.14,False
304,700,7,20251231,298,100,47066.12,False
305,661,3,20230101,276,50,31640.64,False
306,661,3,20230606,284,50,32557.76,False
307,661,3,20231109,277,50,31755.28,False
308,661,3,20240414,252,50,28889.28,False
309,661,3,20240917,289,50,33130.96,False
310,661,3,20250221,287,50,32901.68,False
311,661,3,20250727,315,50,36111.60,False
312,661,3,20251231,333,50,38175.12,False
313,480,9,20230101,68,20,10417.60,False
314,480,9,20230606,75,20,11490.00,False
315,480,9,20231109,63,20,9651.60,False
316,480,9,20240414,49,20,7506.80,False
317,480,9,20240917,37,20,5668.40,False
318,480,9,20250221,34,20,5208.80,False
319,480,9,20250727,33,20,5055.60,False
320,480,9,20251231,28,20,4289.60,False
321,628,5,20230101,31,10,1025.48,False
322,628,5,20230606,24,10,793.92,False
323,628,5,20231109,20,10,661.60,False
324,628,5,20240414,17,10,562.36,False
325,628,5,20240917,16,10,529.28,False
326,628,5,20250221,10,10,330.80,False
327,628,5,20250727,9,10,297.72,True
328,628,5,20251231,13,10,430.04,False
329,512,1,20230101,187,50,11835.23,False
330,512,1,20230606,224,50,14176.96,False
331,512,1,20231109,242,50,15316.18,False
332,512,1,20240414,294,50,18607.26,False
333,512,1,20240917,278,50,17594.62,False
334,512,1,20250221,298,50,18860.42,False
335,512,1,20250727,302,50,19113.58,False
336,512,1,20251231,316,50,19999.64,False
337,305,10,20230101,48,50,11064.00,True
338,305,10,20230606,16,50,3688.00,True
339,305,10,20231109,0,50,0.00,True
340,305,10,20240414,9,50,2074.50,True
341,305,10,20240917,11,50,2535.50,True
342,305,10,20250221,0,50,0.00,True
343,305,10,20250727,0,50,0.00,True
344,305,10,20251231,4,50,922.00,True
345,486,4,20230101,289,75,18195.44,False
346,486,4,20230606,331,75,20839.76,False
347,486,4,20231109,282,75,17754.72,False
348,486,4,20240414,294,75,18510.24,False
349,486,4,20240917,253,75,15928.88,False
350,486,4,20250221,202,75,12717.92,False
351,486,4,20250727,178,75,11206.88,False
352,486,4,20251231,158,75,9947.68,False
353,244,10,20230101,97,25,27163.88,False
354,244,10,20230606,97,25,27163.88,False
355,244,10,20231109,107,25,29964.28,False
356,244,10,20240414,92,25,25763.68,False
357,244,10,20240917,85,25,23803.40,False
358,244,10,20250221,97,25,27163.88,False
359,244,10,20250727,100,25,28004.00,False
360,244,10,20251231,95,25,26603.80,False
361,340,6,20230101,194,100,4593.92,False
362,340,6,20230606,155,100,3670.40,False
363,340,6,20231109,159,100,3765.12,False
364,340,6,20240414,136,100,3220.48,False
365,340,6,20240917,230,100,5446.40,False
366,340,6,20250221,147,100,3480.96,False
367,340,6,20250727,207,100,4901.76,False
368,340,6,20251231,197,100,4664.96,False
369,397,11,20230101,525,100,372104.25,False
370,397,11,20230606,443,100,313985.11,False
371,397,11,20231109,443,100,313985.11,False
372,397,11,20240414,432,100,306188.64,False
373,397,11,20240917,419,100,296974.63,False
374,397,11,20250221,451,100,319655.27,False
375,397,11,20250727,339,100,240273.03,False
376,397,11,20251231,409,100,289886.93,False
377,459,6,20230101,331,75,20737.15,False
378,459,6,20230606,304,75,19045.60,False
379,459,6,20231109,279,75,17479.35,False
380,459,6,20240414,285,75,17855.25,False
381,459,6,20240917,226,75,14158.90,False
382,459,6,20250221,140,75,8771.00,False
383,459,6,20250727,157,75,9836.05,False
384,459,6,20251231,108,75,6766.20,False
385,411,7,20230101,34,20,7435.46,False
386,411,7,20230606,28,20,6123.32,False
387,411,7,20231109,23,20,5029.87,False
388,411,7,20240414,40,20,8747.60,False
389,411,7,20240917,37,20,8091.53,False
390,411,7,20250221,42,20,9184.98,False
391,411,7,20250727,49,20,10715.81,False
392,411,7,20251231,28,20,6123.32,False
393,266,11,20230101,121,50,1351.57,False
394,266,11,20230606,99,50,1105.83,False
395,266,11,20231109,109,50,1217.53,False
396,266,11,20240414,136,50,1519.12,False
397,266,11,20240917,198,50,2211.66,False
398,266,11,20250221,172,50,1921.24,False
399,266,11,20250727,182,50,2032.94,False
400,266,11,20251231,138,50,1541.46,False
401,839,5,20230101,350,100,10286.50,False
402,839,5,20230606,328,100,9639.92,False
403,839,5,20231109,343,100,10080.77,False
404,839,5,20240414,425,100,12490.75,False
405,839,5,20240917,366,100,10756.74,False
406,839,5,20250221,431,100,12667.09,False
407,839,5,20250727,433,100,12725.87,False
408,839,5,20251231,428,100,12578.92,False
409,256,7,20230101,256,50,24865.28,False
410,256,7,20230606,234,50,22728.42,False
411,256,7,20231109,292,50,28361.96,False
412,256,7,20240414,324,50,31470.12,False
413,256,7,20240917,330,50,32052.90,False
414,256,7,20250221,335,50,32538.55,False
415,256,7,20250727,312,50,30304.56,False
416,256,7,20251231,278,50,27002.14,False
417,498,11,20230101,96,50,6182.40,False
418,498,11,20230606,91,50,5860.40,False
419,498,11,20231109,32,50,2060.80,True
420,498,11,20240414,54,50,3477.60,False
421,498,11,20240917,79,50,5087.60,False
422,498,11,20250221,34,50,2189.60,True
423,498,11,20250727,78,50,5023.20,False
424,498,11,20251231,87,50,5602.80,False
425,212,10,20230101,190,50,11502.60,False
426,212,10,20230606,182,50,11018.28,False
427,212,10,20231109,167,50,10110.18,False
428,212,10,20240414,142,50,8596.68,False
429,212,10,20240917,176,50,10655.04,False
430,212,10,20250221,189,50,11442.06,False
431,212,10,20250727,204,50,12350.16,False
432,212,10,20251231,223,50,13500.42,False
433,584,8,20230101,60,10,12210.00,False
434,584,8,20230606,70,10,14245.00,False
435,584,8,20231109,62,10,12617.00,False
436,584,8,20240414,68,10,13838.00,False
437,584,8,20240917,69,10,14041.50,False
438,584,8,20250221,80,10,16280.00,False
439,584,8,20250727,85,10,17297.50,False
440,584,8,20251231,87,10,17704.50,False
441,826,11,20230101,284,75,1596.08,False
442,826,11,20230606,308,75,1730.96,False
443,826,11,20231109,303,75,1702.86,False
444,826,11,20240414,336,75,1888.32,False
445,826,11,20240917,278,75,1562.36,False
446,826,11,20250221,291,75,1635.42,False
447,826,11,20250727,279,75,1567.98,False
448,826,11,20251231,254,75,1427.48,False
449,361,4,20230101,46,10,241.96,False
450,361,4,20230606,43,10,226.18,False
451,361,4,20231109,47,10,247.22,False
452,361,4,20240414,43,10,226.18,False
453,361,4,20240917,51,10,268.26,False
454,361,4,20250221,46,10,241.96,False
455,361,4,20250727,50,10,263.00,False
456,361,4,20251231,49,10,257.74,False
457,298,5,20230101,564,100,195042.48,False
458,298,5,20230606,529,100,182938.78,False
459,298,5,20231109,498,100,172218.36,False
460,298,5,20240414,458,100,158385.56,False
461,298,5,20240917,460,100,159077.20,False
462,298,5,20250221,496,100,171526.72,False
463,298,5,20250727,522,100,180518.04,False
464,298,5,20251231,448,100,154927.36,False
465,675,10,20230101,97,20,6068.32,False
466,675,10,20230606,94,20,5880.64,False
467,675,10,20231109,98,20,6130.88,False
468,675,10,20240414,89,20,5567.84,False
469,675,10,20240917,87,20,5442.72,False
470,675,10,20250221,99,20,6193.44,False
471,675,10,20250727,87,20,5442.72,False
472,675,10,20251231,96,20,6005.76,False
473,293,4,20230101,151,50,25621.68,False
474,293,4,20230606,108,50,18325.44,False
475,293,4,20231109,145,50,24603.60,False
476,293,4,20240414,107,50,18155.76,False
477,293,4,20240917,160,50,27148.80,False
478,293,4,20250221,139,50,23585.52,False
479,293,4,20250727,172,50,29184.96,False
480,293,4,20251231,176,50,29863.68,False
481,948,9,20230101,344,100,25720.88,False
482,948,9,20230606,394,100,29459.38,False
483,948,9,20231109,308,100,23029.16,False
484,948,9,20240414,298,100,22281.46,False
485,948,9,20240917,327,100,24449.79,False
486,948,9,20250221,290,100,21683.30,False
487,948,9,20250727,267,100,19963.59,False
488,948,9,20251231,259,100,19365.43,False
489,475,3,20230101,163,50,1866.35,False
490,475,3,20230606,158,50,1809.10,False
491,475,3,20231109,108,50,1236.60,False
492,475,3,20240414,130,50,1488.50,False
493,475,3,20240917,126,50,1442.70,False
494,475,3,20250221,133,50,1522.85,False
495,475,3,20250727,148,50,1694.60,False
496,475,3,20251231,137,50,1568.65,False
497,348,5,20230101,342,75,69490.98,False
498,348,5,20230606,394,75,80056.86,False
499,348,5,20231109,405,75,82291.95,False
500,348,5,20240414,368,75,74773.92,False
501,348,5,20240917,374,75,75993.06,False
502,348,5,20250221,423,75,85949.37,False
503,348,5,20250727,428,75,86965.32,False
504,348,5,20251231,407,75,82698.33,False
505,932,4,20230101,188,100,1470.16,False
506,932,4,20230606,157,100,1227.74,False
507,932,4,20231109,183,100,1431.06,False
508,932,4,20240414,106,100,828.92,False
509,932,4,20240917,122,100,954.04,False
510,932,4,20250221,88,100,688.16,True
511,932,4,20250727,69,100,539.58,True
512,932,4,20251231,3,100,23.46,True
513,348,12,20230101,157,75,31900.83,False
514,348,12,20230606,191,75,38809.29,False
515,348,12,20231109,230,75,46733.70,False
516,348,12,20240414,195,75,39622.05,False
517,348,12,20240917,253,75,51407.07,False
518,348,12,20250221,270,75,54861.30,False
519,348,12,20250727,261,75,53032.59,False
520,348,12,20251231,250,75,50797.50,False
521,724,9,20230101,213,50,81840.99,False
522,724,9,20230606,241,50,92599.43,False
523,724,9,20231109,236,50,90678.28,False
524,724,9,20240414,239,50,91830.97,False
525,724,9,20240917,216,50,82993.68,False
526,724,9,20250221,236,50,90678.28,False
527,724,9,20250727,218,50,83762.14,False
528,724,9,20251231,228,50,87604.44,False
529,460,5,20230101,254,50,30007.56,False
530,460,5,20230606,208,50,24573.12,False
531,460,5,20231109,191,50,22564.74,False
532,460,5,20240414,169,50,19965.66,False
533,460,5,20240917,186,50,21974.04,False
534,460,5,20250221,183,50,21619.62,False
535,460,5,20250727,172,50,20320.08,False
536,460,5,20251231,142,50,16775.88,False
537,600,12,20230101,376,75,185070.96,False
538,600,12,20230606,406,75,199837.26,False
539,600,12,20231109,402,75,197868.42,False
540,600,12,20240414,434,75,213619.14,False
541,600,12,20240917,385,75,189500.85,False
542,600,12,20250221,386,75,189993.06,False
543,600,12,20250727,436,75,214603.56,False
544,600,12,20251231,440,75,216572.40,False
545,122,6,20230101,571,100,48552.13,False
546,122,6,20230606,573,100,48722.19,False
547,122,6,20231109,586,100,49827.58,False
548,122,6,20240414,585,100,49742.55,False
549,122,6,20240917,512,100,43535.36,False
550,122,6,20250221,454,100,38603.62,False
551,122,6,20250727,427,100,36307.81,False
552,122,6,20251231,457,100,38858.71,False
553,293,1,20230101,258,50,43777.44,False
554,293,1,20230606,273,50,46322.64,False
555,293,1,20231109,261,50,44286.48,False
556,293,1,20240414,243,50,41232.24,False
557,293,1,20240917,203,50,34445.04,False
558,293,1,20250221,220,50,37329.60,False
559,293,1,20250727,253,50,42929.04,False
560,293,1,20251231,246,50,41741.28,False
561,285,9,20230101,152,75,313.12,False
562,285,9,20230606,160,75,329.60,False
563,285,9,20231109,206,75,424.36,False
564,285,9,20240414,203,75,418.18,False
565,285,9,20240917,226,75,465.56,False
566,285,9,20250221,232,75,477.92,False
567,285,9,20250727,231,75,475.86,False
568,285,9,20251231,301,75,620.06,False
569,710,2,20230101,381,75,46874.43,False
570,710,2,20230606,384,75,47243.52,False
571,710,2,20231109,388,75,47735.64,False
572,710,2,20240414,420,75,51672.60,False
573,710,2,20240917,453,75,55732.59,False
574,710,2,20250221,389,75,47858.67,False
575,710,2,20250727,442,75,54379.26,False
576,710,2,20251231,425,75,52287.75,False
577,434,6,20230101,130,75,4083.30,False
578,434,6,20230606,158,75,4962.78,False
579,434,6,20231109,153,75,4805.73,False
580,434,6,20240414,175,75,5496.75,False
581,434,6,20240917,170,75,5339.70,False
582,434,6,20250221,151,75,4742.91,False
583,434,6,20250727,91,75,2858.31,False
584,434,6,20251231,87,75,2732.67,False
585,833,4,20230101,189,50,5346.81,False
586,833,4,20230606,214,50,6054.06,False
587,833,4,20231109,253,50,7157.37,False
588,833,4,20240414,219,50,6195.51,False
589,833,4,20240917,261,50,7383.69,False
590,833,4,20250221,269,50,7610.01,False
591,833,4,20250727,251,50,7100.79,False
592,833,4,20251231,273,50,7723.17,False
593,504,4,20230101,71,25,34477.60,False
594,504,4,20230606,89,25,43218.40,False
595,504,4,20231109,94,25,45646.40,False
596,504,4,20240414,111,25,53901.60,False
597,504,4,20240917,119,25,57786.40,False
598,504,4,20250221,130,25,63128.00,False
599,504,4,20250727,131,25,63613.60,False
600,504,4,20251231,143,25,69440.80,False
601,989,4,20230101,37,25,32378.33,False
602,989,4,20230606,16,25,14001.44,True
603,989,4,20231109,12,25,10501.08,True
604,989,4,20240414,12,25,10501.08,True
605,989,4,20240917,13,25,11376.17,True
606,989,4,20250221,20,25,17501.80,True
607,989,4,20250727,31,25,27127.79,False
608,989,4,20251231,11,25,9625.99,True
609,841,6,20230101,255,75,7869.30,False
610,841,6,20230606,217,75,6696.62,False
611,841,6,20231109,189,75,5832.54,False
612,841,6,20240414,203,75,6264.58,False
613,841,6,20240917,263,75,8116.18,False
614,841,6,20250221,311,75,9597.46,False
615,841,6,20250727,315,75,9720.90,False
616,841,6,20251231,305,75,9412.30,False
617,213,7,20230101,336,100,113897.28,False
618,213,7,20230606,378,100,128134.44,False
619,213,7,20231109,329,100,111524.42,False
620,213,7,20240414,181,100,61355.38,False
621,213,7,20240917,177,100,59999.46,False
622,213,7,20250221,209,100,70846.82,False
623,213,7,20250727,195,100,66101.10,False
624,213,7,20251231,239,100,81016.22,False
625,984,11,20230101,149,75,100670.36,False
626,984,11,20230606,192,75,129722.88,False
627,984,11,20231109,181,75,122290.84,False
628,984,11,20240414,223,75,150667.72,False
629,984,11,20240917,232,75,156748.48,False
630,984,11,20250221,267,75,180395.88,False
631,984,11,20250727,234,75,158099.76,False
632,984,11,20251231,260,75,175666.40,False
633,1000,10,20230101,85,20,3021.75,False
634,1000,10,20230606,89,20,3163.95,False
635,1000,10,20231109,100,20,3555.00,False
636,1000,10,20240414,96,20,3412.80,False
637,1000,10,20240917,97,20,3448.35,False
638,1000,10,20250221,93,20,3306.15,False
639,1000,10,20250727,95,20,3377.25,False
640,1000,10,20251231,99,20,3519.45,False
641,383,1,20230101,10,10,395.20,False
642,383,1,20230606,5,10,197.60,True
643,383,1,20231109,0,10,0.00,True
644,383,1,20240414,0,10,0.00,True
645,383,1,20240917,0,10,0.00,True
646,383,1,20250221,0,10,0.00,True
647,383,1,20250727,0,10,0.00,True
648,383,1,20251231,3,10,118.56,True
649,74,10,20230101,93,25,618.45,False
650,74,10,20230606,85,25,565.25,False
651,74,10,20231109,86,25,571.90,False
652,74,10,20240414,75,25,498.75,False
653,74,10,20240917,58,25,385.70,False
654,74,10,20250221,50,25,332.50,False
655,74,10,20250727,54,25,359.10,False
656,74,10,20251231,31,25,206.15,False
657,116,8,20230101,226,50,194312.54,False
658,116,8,20230606,215,50,184854.85,False
659,116,8,20231109,195,50,167659.05,False
660,116,8,20240414,193,50,165939.47,False
661,116,8,20240917,223,50,191733.17,False
662,116,8,20250221,205,50,176256.95,False
663,116,8,20250727,222,50,190873.38,False
664,116,8,20251231,255,50,219246.45,False
665,189,10,20230101,244,50,21442.72,False
