"purchase_key","purchase_order_id","supplier_key","product_key","order_date_key","received_date_key","quantity","unit_cost","purchase_value","lead_time_days"
77,"PO000077",105,533,20250817,20250908,150,70.68,10602.00,22
78,"PO000078",77,333,20250521,20250603,100,4.53,453.00,13
79,"PO000079",3,637,20250909,20250927,500,494.96,247480.00,18
80,"PO000080",70,28,20240531,20240623,1000,138.84,138840.00,23
81,"PO000081",98,155,20250129,20250217,100,328.37,32837.00,19
82,"PO000082",65,953,20240314,20240402,50,114.14,5707.00,19
83,"PO000083",71,815,20251021,20251107,300,19.93,5979.00,17
84,"PO000084",85,568,20241120,20241203,300,718.15,215445.00,13
85,"PO000085",98,745,20241001,20241018,500,3.92,1960.00,17
86,"PO000086",107,131,20251011,20251103,50,131.50,6575.00,23
87,"PO000087",99,534,20250824,20250901,300,53.93,16179.00,8
88,"PO000088",51,130,20240404,20240410,500,756.17,378085.00,6
89,"PO000089",85,91,20251107,20251125,100,142.32,14232.00,18
90,"PO000090",92,22,20250418,20250425,150,594.17,89125.50,7
91,"PO000091",99,19,20240829,20240906,200,249.79,49958.00,8
92,"PO000092",85,875,20250922,20251007,500,77.46,38730.00,15
93,"PO000093",106,278,20231006,20231029,300,16.93,5079.00,23
94,"PO000094",83,561,20241112,20241210,300,414.07,124221.00,28
95,"PO000095",4,290,20240908,20241010,500,12.39,6195.00,32
96,"PO000096",32,401,20250217,20250301,150,75.28,11292.00,12
97,"PO000097",5,216,20250404,20250417,500,19.98,9990.00,13
98,"PO000098",50,847,20230530,20230618,500,35.31,17655.00,19
99,"PO000099",103,932,20250907,20250909,50,7.93,396.50,2
100,"PO000100",60,828,20240325,20240419,100,165.78,16578.00,25
101,"PO000101",33,366,20250206,20250304,300,417.67,125301.00,26
102,"PO000102",120,420,20251229,20260111,200,125.52,25104.00,13
103,"PO000103",8,270,20250107,20250108,500,63.59,31795.00,1
104,"PO000104",103,640,20240921,20240924,750,55.19,41392.50,3
105,"PO000105",101,993,20230101,20230117,1000,4.59,4590.00,16
106,"PO000106",26,980,20231116,20231206,500,105.60,52800.00,20
107,"PO000107",67,842,20250301,20250308,100,58.03,5803.00,7
108,"PO000108",1,170,20250209,20250303,150,198.34,29751.00,22
109,"PO000109",106,175,20230528,20230616,200,101.78,20356.00,19
110,"PO000110",90,918,20230402,20230415,500,121.90,60950.00,13
111,"PO000111",110,579,20230106,20230115,300,100.66,30198.00,9
112,"PO000112",66,651,20251119,20251120,100,673.05,67305.00,1
113,"PO000113",107,229,20241107,20241201,1000,31.32,31320.00,24
114,"PO000114",48,134,20230714,20230729,50,14.88,744.00,15
115,"PO000115",15,288,20230608,20230621,150,72.51,10876.50,13
116,"PO000116",119,845,20241208,20241209,300,10.84,3252.00,1
117,"PO000117",14,129,20241026,20241101,150,357.48,53622.00,6
118,"PO000118",77,530,20240531,20240614,50,154.01,7700.50,14
119,"PO000119",27,669,20250325,20250405,750,39.10,29325.00,11
120,"PO000120",36,262,20250418,20250509,750,148.77,111577.50,21
121,"PO000121",54,360,20240626,20240803,200,298.20,59640.00,38
122,"PO000122",98,745,20240809,20240828,300,3.60,1080.00,19
123,"PO000123",106,839,20250521,20250611,100,29.34,2934.00,21
124,"PO000124",26,980,20250813,20250902,300,103.45,31035.00,20
125,"PO000125",82,744,20240412,20240514,500,558.80,279400.00,32
126,"PO000126",47,449,20250723,20250801,750,62.28,46710.00,9
127,"PO000127",11,659,20230915,20231016,300,195.26,58578.00,31
128,"PO000128",26,988,20251020,20251109,50,43.71,2185.50,20
129,"PO000129",120,804,20230907,20230919,150,127.24,19086.00,12
130,"PO000130",43,151,20251125,20251205,100,17.44,1744.00,10
131,"PO000131",85,338,20231115,20231128,200,114.14,22828.00,13
132,"PO000132",106,759,20250320,20250416,100,47.96,4796.00,27
133,"PO000133",91,816,20251018,20251107,200,12.87,2574.00,20
134,"PO000134",58,324,20241019,20241104,150,150.76,22614.00,16
135,"PO000135",9,907,20241223,20250101,750,277.98,208485.00,9
136,"PO000136",27,818,20230527,20230607,150,189.86,28479.00,11
137,"PO000137",39,49,20250320,20250407,750,37.55,28162.50,18
138,"PO000138",11,390,20251113,20251214,100,120.20,12020.00,31
139,"PO000139",61,328,20230126,20230221,500,29.63,14815.00,26
140,"PO000140",79,901,20250123,20250227,150,45.14,6771.00,35
141,"PO000141",58,630,20240805,20240823,750,78.52,58890.00,18
142,"PO000142",91,157,20250422,20250518,150,32.96,4944.00,26
143,"PO000143",54,658,20240330,20240502,150,55.44,8316.00,33
144,"PO000144",54,543,20230528,20230628,200,14.77,2954.00,31
145,"PO000145",14,271,20241027,20241103,50,79.54,3977.00,7
146,"PO000146",32,437,20250706,20250720,200,26.34,5268.00,14
147,"PO000147",116,406,20250130,20250212,100,34.65,3465.00,13
148,"PO000148",105,931,20230615,20230706,300,100.60,30180.00,21
149,"PO000149",79,470,20241222,20250121,150,379.23,56884.50,30
150,"PO000150",77,442,20230131,20230212,100,276.46,27646.00,12
151,"PO000151",42,739,20230714,20230814,50,24.62,1231.00,31
152,"PO000152",18,881,20241029,20241120,100,69.27,6927.00,22
153,"PO000153",27,959,20230414,20230427,100,49.02,4902.00,13
154,"PO000154",65,953,20250905,20250924,200,105.77,21154.00,19
155,"PO000155",75,622,20230209,20230307,500,249.84,124920.00,26
156,"PO000156",55,682,20250508,20250524,300,767.28,230184.00,16
157,"PO000157",94,433,20230203,20230224,50,99.01,4950.50,21
158,"PO000158",53,536,20241218,20250103,100,7.62,762.00,16
159,"PO000159",4,117,20231011,20231112,300,9.96,2988.00,32
160,"PO000160",98,182,20231020,20231105,500,94.09,47045.00,16
161,"PO000161",43,204,20250115,20250125,750,242.94,182205.00,10
162,"PO000162",13,448,20240730,20240808,300,200.52,60156.00,9
163,"PO000163",115,624,20250609,20250621,150,585.39,87808.50,12
164,"PO000164",96,231,20241202,20241216,500,119.34,59670.00,14
165,"PO000165",78,817,20240804,20240824,300,239.65,71895.00,20
166,"PO000166",43,727,20250314,20250328,100,49.87,4987.00,14
167,"PO000167",39,49,20241008,20241025,300,36.37,10911.00,17
168,"PO000168",11,390,20251028,20251130,200,120.56,24112.00,33
169,"PO000169",15,510,20251018,20251026,150,276.08,41412.00,8
170,"PO000170",72,62,20240416,20240417,500,262.52,131260.00,1
171,"PO000171",77,600,20250427,20250505,50,497.39,24869.50,8
172,"PO000172",39,796,20231125,20231209,100,48.40,4840.00,14
173,"PO000173",45,948,20231103,20231115,200,75.01,15002.00,12
174,"PO000174",33,59,20240825,20240916,150,17.74,2661.00,22
175,"PO000175",46,757,20250817,20250904,300,94.21,28263.00,18
176,"PO000176",28,90,20230123,20230214,200,282.93,56586.00,22
177,"PO000177",108,655,20230724,20230813,300,89.38,26814.00,20
178,"PO000178",97,627,20230610,20230630,300,658.38,197514.00,20
179,"PO000179",59,50,20241117,20241205,100,132.39,13239.00,18
180,"PO000180",46,757,20240616,20240705,200,97.62,19524.00,19
181,"PO000181",93,888,20240206,20240223,100,458.19,45819.00,17
182,"PO000182",57,856,20231016,20231026,500,95.08,47540.00,10
183,"PO000183",22,810,20240105,20240120,100,56.68,5668.00,15
184,"PO000184",91,983,20231104,20231130,100,112.10,11210.00,26
185,"PO000185",2,569,20230508,20230601,500,583.96,291980.00,24
186,"PO000186",27,529,20241123,20241205,1000,62.49,62490.00,12
187,"PO000187",80,67,20250105,20250111,50,34.94,1747.00,6
188,"PO000188",79,699,20230909,20231016,300,513.15,153945.00,37
189,"PO000189",24,1000,20230305,20230315,100,35.81,3581.00,10
190,"PO000190",88,766,20240208,20240226,100,93.77,9377.00,18
191,"PO000191",17,273,20230808,20230825,300,33.35,10005.00,17
192,"PO000192",88,575,20230803,20230827,750,9.53,7147.50,24
193,"PO000193",40,167,20231227,20240119,500,35.89,17945.00,23
194,"PO000194",117,359,20251019,20251108,300,225.51,67653.00,20
195,"PO000195",57,254,20251101,20251120,100,489.89,48989.00,19
196,"PO000196",82,646,20231228,20240125,500,33.94,16970.00,28
197,"PO000197",35,736,20250301,20250318,1000,5.37,5370.00,17
198,"PO000198",54,658,20240118,20240221,200,60.06,12012.00,34
199,"PO000199",14,974,20250812,20250819,1000,221.57,221570.00,7
200,"PO000200",48,399,20250126,20250206,50,101.98,5099.00,11
201,"PO000201",97,121,20240109,20240130,50,486.56,24328.00,21
202,"PO000202",15,936,20240815,20240828,50,261.50,13075.00,13
203,"PO000203",113,535,20231202,20231215,150,338.72,50808.00,13
204,"PO000204",103,734,20250604,20250609,50,166.42,8321.00,5
205,"PO000205",93,884,20240621,20240706,200,10.35,2070.00,15
206,"PO000206",113,193,20231115,20231128,750,35.72,26790.00,13
207,"PO000207",113,986,20230116,20230129,50,11.12,556.00,13
208,"PO000208",53,31,20241031,20241114,150,12.67,1900.50,14
209,"PO000209",88,701,20240430,20240520,300,67.58,20274.00,20
210,"PO000210",92,380,20250322,20250323,50,37.04,1852.00,1
211,"PO000211",65,286,20250519,20250612,1000,40.08,40080.00,24
212,"PO000212",36,75,20240602,20240621,200,13.65,2730.00,19
213,"PO000213",42,219,20230123,20230221,500,165.46,82730.00,29
214,"PO000214",43,926,20231031,20231107,200,25.63,5126.00,7
215,"PO000215",118,551,20250408,20250516,50,8.70,435.00,38
216,"PO000216",75,77,20230730,20230816,750,618.73,464047.50,17
217,"PO000217",23,982,20250829,20250905,150,123.71,18556.50,7
218,"PO000218",63,679,20250301,20250320,50,33.76,1688.00,19
219,"PO000219",58,365,20250619,20250705,100,83.60,8360.00,16
220,"PO000220",54,487,20241230,20250204,750,220.24,165180.00,36
221,"PO000221",98,900,20230829,20230921,1000,46.24,46240.00,23
222,"PO000222",42,219,20240803,20240903,200,154.87,30974.00,31
223,"PO000223",58,324,20240323,20240406,200,160.44,32088.00,14
224,"PO000224",108,609,20250507,20250522,500,48.16,24080.00,15
225,"PO000225",18,702,20230807,20230831,1000,32.68,32680.00,24
226,"PO000226",68,100,20241009,20241021,200,283.44,56688.00,12
227,"PO000227",52,738,20230917,20231001,150,169.91,25486.50,14
228,"PO000228",73,490,20240927,20241012,1000,2.36,2360.00,15
229,"PO000229",90,853,20231206,20231223,100,82.66,8266.00,17
230,"PO000230",59,930,20231010,20231029,100,27.43,2743.00,19
231,"PO000231",51,584,20250322,20250327,500,199.00,99500.00,5
232,"PO000232",89,387,20240125,20240212,750,68.33,51247.50,18
233,"PO000233",58,754,20250925,20251011,750,275.04,206280.00,16
234,"PO000234",106,257,20240614,20240706,750,52.86,39645.00,22
235,"PO000235",71,964,20240627,20240713,1000,83.11,83110.00,16
236,"PO000236",115,624,20240607,20240622,50,583.37,29168.50,15
237,"PO000237",58,756,20230120,20230129,150,183.56,27534.00,9
238,"PO000238",56,797,20240421,20240422,100,199.64,19964.00,1
239,"PO000239",31,805,20240722,20240802,200,103.03,20606.00,11
240,"PO000240",24,887,20250519,20250531,100,439.11,43911.00,12
241,"PO000241",46,761,20240607,20240626,500,253.07,126535.00,19
242,"PO000242",88,766,20240204,20240224,500,99.10,49550.00,20
243,"PO000243",60,828,20240220,20240319,150,177.65,26647.50,28
244,"PO000244",96,726,20230728,20230811,750,71.28,53460.00,14
245,"PO000245",103,932,20230415,20230420,150,8.15,1222.50,5
246,"PO000246",106,175,20251218,20260113,300,98.62,29586.00,26
247,"PO000247",9,8,20241127,20241203,200,880.38,176076.00,6
248,"PO000248",85,875,20230227,20230314,150,77.68,11652.00,15
249,"PO000249",87,737,20230523,20230612,50,58.94,2947.00,20
250,"PO000250",21,186,20231026,20231119,1000,117.62,117620.00,24
251,"PO000251",103,734,20241206,20241213,750,166.85,125137.50,7
252,"PO000252",40,73,20230110,20230123,50,122.56,6128.00,13
253,"PO000253",77,530,20250303,20250316,50,158.73,7936.50,13
254,"PO000254",22,221,20240227,20240315,50,17.66,883.00,17
255,"PO000255",12,148,20250304,20250320,150,57.05,8557.50,16
256,"PO000256",6,714,20250919,20251005,300,377.41,113223.00,16
257,"PO000257",95,69,20240617,20240628,100,39.22,3922.00,11
258,"PO000258",14,129,20240206,20240213,50,385.76,19288.00,7
259,"PO000259",75,984,20240613,20240706,1000,707.04,707040.00,23
260,"PO000260",54,543,20240104,20240207,750,14.26,10695.00,34
261,"PO000261",63,563,20231217,20240112,50,40.29,2014.50,26
262,"PO000262",66,315,20231118,20231123,50,21.21,1060.50,5
263,"PO000263",106,526,20240916,20241009,50,106.76,5338.00,23
264,"PO000264",26,237,20230610,20230630,150,39.67,5950.50,20
265,"PO000265",25,879,20230821,20230908,200,8.90,1780.00,18
266,"PO000266",101,993,20240318,20240412,150,4.42,663.00,25
267,"PO000267",76,480,20240731,20240823,500,145.86,72930.00,23
268,"PO000268",21,812,20240515,20240611,200,467.82,93564.00,27
269,"PO000269",42,735,20240324,20240424,200,105.82,21164.00,31
270,"PO000270",7,867,20230827,20230915,500,433.58,216790.00,19
271,"PO000271",40,149,20231031,20231114,100,33.82,3382.00,14
272,"PO000272",55,838,20230131,20230220,100,144.05,14405.00,20
273,"PO000273",5,216,20250729,20250815,150,18.72,2808.00,17
274,"PO000274",14,632,20230215,20230221,1000,187.51,187510.00,6
275,"PO000275",80,191,20240620,20240630,750,269.49,202117.50,10
276,"PO000276",66,27,20251030,20251104,100,19.64,1964.00,5
277,"PO000277",52,738,20251019,20251102,100,165.11,16511.00,14
278,"PO000278",41,897,20250301,20250321,50,7.04,352.00,20
279,"PO000279",61,147,20241022,20241113,50,55.77,2788.50,22
280,"PO000280",66,729,20231010,20231012,1000,73.92,73920.00,2
281,"PO000281",41,207,20251228,20260117,100,14.08,1408.00,20
282,"PO000282",23,13,20240507,20240511,750,11.47,8602.50,4
283,"PO000283",11,659,20240223,20240324,500,202.62,101310.00,30
284,"PO000284",80,874,20240211,20240220,1000,68.99,68990.00,9
285,"PO000285",32,783,20250425,20250503,300,28.64,8592.00,8
286,"PO000286",29,93,20251121,20251202,100,363.57,36357.00,11
287,"PO000287",10,751,20230429,20230505,50,194.10,9705.00,6
288,"PO000288",20,540,20230826,20230830,750,152.70,114525.00,4
289,"PO000289",43,934,20251211,20251216,50,229.77,11488.50,5
290,"PO000290",98,168,20250109,20250126,50,15.12,756.00,17
291,"PO000291",112,522,20230920,20231013,50,39.19,1959.50,23
292,"PO000292",78,432,20240304,20240324,1000,200.85,200850.00,20
293,"PO000293",83,708,20230605,20230629,100,167.78,16778.00,24
294,"PO000294",62,612,20230904,20231001,300,111.87,33561.00,27
295,"PO000295",92,274,20241212,20241216,200,6.87,1374.00,4
296,"PO000296",74,511,20240920,20240926,200,530.76,106152.00,6
297,"PO000297",43,926,20231016,20231026,150,25.80,3870.00,10
298,"PO000298",40,789,20231126,20231217,50,1.40,70.00,21
299,"PO000299",29,93,20240422,20240508,500,375.33,187665.00,16
300,"PO000300",93,966,20250623,20250710,50,239.43,11971.50,17
301,"PO000301",91,944,20250101,20250120,300,68.21,20463.00,19
302,"PO000302",94,269,20240615,20240711,150,31.29,4693.50,26
303,"PO000303",57,298,20230601,20230619,200,346.89,69378.00,18
304,"PO000304",39,820,20251122,20251210,50,41.58,2079.00,18
305,"PO000305",97,124,20250725,20250813,750,136.86,102645.00,19
306,"PO000306",90,853,20230622,20230707,500,86.08,43040.00,15
307,"PO000307",8,270,20230806,20230812,50,62.86,3143.00,6
308,"PO000308",8,323,20250317,20250319,1000,44.92,44920.00,2
309,"PO000309",102,562,20250224,20250325,150,156.47,23470.50,29
310,"PO000310",90,716,20241019,20241104,300,319.33,95799.00,16
311,"PO000311",90,674,20241107,20241121,50,23.51,1175.50,14
312,"PO000312",106,839,20231220,20240111,1000,29.27,29270.00,22
313,"PO000313",83,247,20250424,20250517,50,88.86,4443.00,23
314,"PO000314",81,668,20250817,20250824,1000,14.20,14200.00,7
315,"PO000315",29,871,20241113,20241118,100,45.51,4551.00,5
316,"PO000316",90,853,20230110,20230127,50,80.18,4009.00,17
317,"PO000317",24,1000,20250430,20250518,200,36.83,7366.00,18
318,"PO000318",27,669,20250303,20250313,1000,37.69,37690.00,10
319,"PO000319",82,184,20250706,20250728,1000,36.75,36750.00,22
320,"PO000320",74,206,20251109,20251119,1000,37.63,37630.00,10
321,"PO000321",98,181,20251022,20251108,750,143.62,107715.00,17
322,"PO000322",67,842,20240810,20240817,150,54.43,8164.50,7
323,"PO000323",101,345,20251029,20251122,1000,249.59,249590.00,24
324,"PO000324",35,573,20240707,20240731,300,6.06,1818.00,24
325,"PO000325",68,400,20251116,20251130,300,664.11,199233.00,14
326,"PO000326",71,865,20241007,20241029,50,73.27,3663.50,22
327,"PO000327",25,352,20231208,20231222,200,142.05,28410.00,14
328,"PO000328",13,823,20240127,20240209,100,103.25,10325.00,13
329,"PO000329",93,929,20230929,20231018,750,581.52,436140.00,19
330,"PO000330",119,477,20230726,20230728,50,13.32,666.00,2
331,"PO000331",90,479,20251209,20251227,150,376.28,56442.00,18
332,"PO000332",92,962,20231107,20231122,1000,104.02,104020.00,15
333,"PO000333",84,123,20250429,20250524,100,100.81,10081.00,25
334,"PO000334",80,958,20240212,20240216,150,5.68,852.00,4
335,"PO000335",2,919,20240415,20240509,750,117.15,87862.50,24
336,"PO000336",63,162,20231014,20231030,750,408.99,306742.50,16
337,"PO000337",30,790,20250824,20250912,750,226.29,169717.50,19
338,"PO000338",107,760,20251210,20251231,150,330.58,49587.00,21
339,"PO000339",91,983,20240210,20240304,750,112.49,84367.50,23
340,"PO000340",113,986,20240911,20240918,150,10.59,1588.50,7
341,"PO000341",20,540,20240228,20240303,300,152.87,45861.00,4
342,"PO000342",39,368,20251120,20251209,100,271.57,27157.00,19
343,"PO000343",63,104,20250317,20250407,300,353.68,106104.00,21
344,"PO000344",106,663,20251108,20251130,50,109.84,5492.00,22
345,"PO000345",113,537,20241001,20241016,750,139.44,104580.00,15
346,"PO000346",94,855,20240916,20241008,150,11.93,1789.50,22
347,"PO000347",60,553,20241207,20250109,100,63.44,6344.00,33
348,"PO000348",102,562,20241202,20241228,500,152.92,76460.00,26
349,"PO000349",74,206,20231114,20231124,1000,35.75,35750.00,10
350,"PO000350",115,475,20240215,20240226,300,11.15,3345.00,11
351,"PO000351",60,828,20240406,20240504,500,169.33,84665.00,28
352,"PO000352",112,465,20240910,20241006,1000,83.58,83580.00,26
353,"PO000353",1,483,20250416,20250511,750,151.45,113587.50,25
354,"PO000354",53,896,20230416,20230502,100,238.66,23866.00,16
355,"PO000355",39,796,20251112,20251126,100,52.24,5224.00,14
356,"PO000356",5,848,20230828,20230911,150,85.01,12751.50,14
357,"PO000357",66,342,20230123,20230128,500,234.96,117480.00,5
358,"PO000358",87,244,20241015,20241101,50,271.64,13582.00,17
359,"PO000359",113,537,20241015,20241027,50,145.96,7298.00,12
360,"PO000360",43,482,20230914,20230928,200,116.06,23212.00,14
361,"PO000361",33,152,20250213,20250310,750,261.30,195975.00,25
362,"PO000362",109,287,20230805,20230816,1000,12.78,12780.00,11
363,"PO000363",76,480,20230928,20231018,1000,153.31,153310.00,20
364,"PO000364",12,576,20231228,20240117,100,40.09,4009.00,20
365,"PO000365",42,296,20250124,20250224,500,55.62,27810.00,31
366,"PO000366",24,887,20230905,20230919,200,426.16,85232.00,14
367,"PO000367",75,984,20230928,20231017,300,687.70,206310.00,19
368,"PO000368",47,554,20230610,20230621,150,6.88,1032.00,11
369,"PO000369",94,617,20240415,20240509,50,151.55,7577.50,24
370,"PO000370",55,703,20240820,20240909,750,11.23,8422.50,20
371,"PO000371",63,864,20240902,20240925,200,55.77,11154.00,23
372,"PO000372",120,804,20240420,20240501,300,133.39,40017.00,11
373,"PO000373",46,757,20230830,20230917,750,95.72,71790.00,18
374,"PO000374",12,576,20240513,20240527,1000,40.70,40700.00,14
375,"PO000375",46,991,20230606,20230624,1000,148.92,148920.00,18
376,"PO000376",24,1000,20241018,20241031,1000,34.51,34510.00,13
377,"PO000377",73,585,20240702,20240725,300,122.46,36738.00,23
378,"PO000378",28,580,20250801,20250826,750,36.04,27030.00,25
379,"PO000379",58,324,20250716,20250730,1000,163.40,163400.00,14
380,"PO000380",1,97,20241030,20241122,500,51.66,25830.00,23
381,"PO000381",109,794,20240221,20240302,300,76.19,22857.00,10
382,"PO000382",80,213,20250326,20250402,1000,334.83,334830.00,7
383,"PO000383",59,50,20240225,20240314,150,138.16,20724.00,18
384,"PO000384",87,698,20240626,20240707,1000,407.22,407220.00,11
385,"PO000385",78,589,20251220,20260109,1000,65.37,65370.00,20
386,"PO000386",58,977,20251123,20251202,300,130.74,39222.00,9
387,"PO000387",110,579,20251125,20251208,750,102.09,76567.50,13
388,"PO000388",21,186,20231217,20240107,750,120.85,90637.50,21
389,"PO000389",65,886,20230807,20230820,100,2.08,208.00,13
390,"PO000390",79,138,20231204,20240105,150,254.25,38137.50,32
391,"PO000391",61,328,20251128,20251220,150,30.33,4549.50,22
392,"PO000392",73,495,20250410,20250503,100,537.97,53797.00,23
393,"PO000393",10,446,20240408,20240420,750,200.36,150270.00,12
394,"PO000394",83,704,20231024,20231118,1000,79.11,79110.00,25
395,"PO000395",76,480,20231125,20231216,300,156.51,46953.00,21
396,"PO000396",60,828,20251110,20251208,200,178.47,35694.00,28
397,"PO000397",22,20,20241027,20241116,50,102.30,5115.00,20
398,"PO000398",73,490,20250525,20250610,150,2.22,333.00,16
399,"PO000399",86,115,20231219,20231231,1000,142.40,142400.00,12
400,"PO000400",84,484,20240930,20241026,50,10.32,516.00,26
401,"PO000401",115,781,20250527,20250606,100,122.73,12273.00,10
402,"PO000402",87,698,20230830,20230917,200,403.03,80606.00,18
403,"PO000403",79,699,20241125,20250104,1000,513.31,513310.00,40
404,"PO000404",72,763,20241216,20241219,500,622.13,311065.00,3
405,"PO000405",15,11,20230329,20230411,750,340.09,255067.50,13
406,"PO000406",50,847,20241204,20241220,300,35.37,10611.00,16
407,"PO000407",63,747,20231022,20231112,1000,97.22,97220.00,21
408,"PO000408",46,785,20250819,20250907,50,256.58,12829.00,19
409,"PO000409",80,191,20250528,20250601,750,271.41,203557.50,4
410,"PO000410",46,757,20231230,20240117,100,91.23,9123.00,18
411,"PO000411",93,945,20250403,20250419,150,66.82,10023.00,16
412,"PO000412",98,168,20230422,20230513,500,15.14,7570.00,21
413,"PO000413",13,635,20230916,20230930,750,72.69,54517.50,14
414,"PO000414",25,352,20250826,20250921,150,144.62,21693.00,26
415,"PO000415",62,695,20240122,20240218,500,36.98,18490.00,27
416,"PO000416",59,188,20251025,20251111,500,848.29,424145.00,17
417,"PO000417",99,782,20251125,20251207,200,428.99,85798.00,12
418,"PO000418",109,407,20250522,20250608,300,257.93,77379.00,17
419,"PO000419",71,408,20241127,20241219,50,68.12,3406.00,22
